Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
5850,1673970663597,31.41,33.0,1.0,220.854,0.0
5851,1673970663763,31.42,33.0,1.0,221.117,0.0
5852,1673970663929,31.42,33.0,1.0,221.377,0.0
5853,1673970664096,31.42,33.0,1.0,221.638,0.0
5854,1673970664261,31.44,33.0,1.0,221.907,-0.02
5855,1673970664428,31.45,33.0,1.0,222.164,0.0
5856,1673970664594,31.44,33.0,1.0,222.42,0.0
5857,1673970664759,31.45,33.0,1.0,222.677,0.0
5858,1673970664926,31.47,33.0,1.0,222.933,0.0
5859,1673970665091,31.47,33.0,1.0,223.193,0.0
5860,1673970665258,31.49,33.0,1.0,223.445,0.0
5861,1673970665423,31.48,33.0,1.0,223.695,0.0
5862,1673970665590,31.48,33.0,1.0,223.945,0.0
5863,1673970665755,31.5,33.0,1.0,224.196,0.0
5864,1673970665921,31.51,33.0,1.0,224.451,-0.01
5865,1673970666087,31.49,33.0,1.0,224.697,0.0
5866,1673970666253,31.51,33.0,1.0,224.946,0.0
5867,1673970666420,31.52,33.0,1.0,225.192,0.0
5868,1673970666585,31.52,33.0,1.0,225.436,0.0
5869,1673970666752,31.54,33.0,1.0,225.688,-0.02
5870,1673970666917,31.53,33.0,1.0,225.928,0.0
5871,1673970667083,31.54,33.0,1.0,226.171,0.0
5872,1673970667250,31.55,33.0,1.0,226.412,0.0
5873,1673970667415,31.55,33.0,1.0,226.651,0.0
5874,1673970667581,31.56,33.0,1.0,226.897,-0.01
5875,1673970667748,31.57,33.0,1.0,227.135,0.0
5876,1673970667913,31.57,33.0,1.0,227.371,0.0
5877,1673970668080,31.57,33.0,1.0,227.607,0.0
5878,1673970668246,31.59,33.0,1.0,227.844,0.0
5879,1673970668411,31.6,33.0,1.0,228.083,-0.01
5880,1673970668577,31.59,33.0,1.0,228.314,0.0
5881,1673970668743,31.61,33.0,1.0,228.547,0.0
5882,1673970668909,31.61,33.0,1.0,228.776,0.0
5883,1673970669076,31.61,33.0,1.0,229.005,0.0
5884,1673970669241,31.63,33.0,1.0,229.241,-0.02
5885,1673970669408,31.62,33.0,1.0,229.467,0.0
5886,1673970669573,31.62,33.0,1.0,229.695,0.0
5887,1673970669740,31.63,33.0,1.0,229.922,0.0
5888,1673970669905,31.63,33.0,1.0,230.149,0.0
5889,1673970670072,31.64,33.0,1.0,230.381,-0.01
5890,1673970670237,31.66,33.0,1.0,230.606,0.0
5891,1673970670403,31.65,33.0,1.0,230.827,0.0
5892,1673970670570,31.66,33.0,1.0,231.05,0.0
5893,1673970670735,31.68,33.0,1.0,231.271,0.0
5894,1673970670901,31.67,33.0,1.0,231.495,0.01
5895,1673970671067,31.68,33.0,1.0,231.715,0.0
5896,1673970671233,31.68,33.0,1.0,231.933,0.0
5897,1673970671399,31.68,33.0,1.0,232.151,0.0
5898,1673970671565,31.7,33.0,1.0,232.369,0.0
5899,1673970671731,31.71,33.0,1.0,232.59,-0.01
5900,1673970671897,31.71,33.0,1.0,232.803,0.0
5901,1673970672064,31.71,33.0,1.0,233.016,0.0
5902,1673970672229,31.72,33.0,1.0,233.229,0.0
5903,1673970672395,31.72,33.0,1.0,233.44,0.0
5904,1673970672561,31.73,33.0,1.0,233.657,-0.01
5905,1673970672727,31.74,33.0,1.0,233.867,0.0
5906,1673970672893,31.74,33.0,1.0,234.075,0.0
5907,1673970673059,31.75,33.0,1.0,234.283,0.0
5908,1673970673225,31.76,33.0,1.0,234.489,0.0
5909,1673970673391,31.76,33.0,1.0,234.7,0.0
5910,1673970673558,31.77,33.0,1.0,234.904,0.0
5911,1673970673724,31.77,33.0,1.0,235.107,0.0
5912,1673970673890,31.78,33.0,1.0,235.31,0.0
5913,1673970674055,31.79,33.0,1.0,235.511,0.0
5914,1673970674222,31.79,33.0,1.0,235.717,0.0
5915,1673970674388,31.8,33.0,1.0,235.916,0.0
5916,1673970674553,31.81,33.0,1.0,236.114,0.0
5917,1673970674719,31.82,33.0,1.0,236.311,0.0
5918,1673970674885,31.82,33.0,1.0,236.505,0.0
5919,1673970675051,31.8,33.0,1.0,236.706,0.02
5920,1673970675217,31.83,33.0,1.0,236.904,0.0
5921,1673970675384,31.82,33.0,1.0,237.097,0.0
5922,1673970675550,31.82,33.0,1.0,237.292,0.0
5923,1673970675715,31.85,33.0,1.0,237.487,0.0
5924,1673970675882,31.84,33.0,1.0,237.682,0.01
5925,1673970676047,31.86,33.0,1.0,237.874,0.0
5926,1673970676213,31.86,33.0,1.0,238.062,0.0
5927,1673970676380,31.87,33.0,1.0,238.25,0.0
5928,1673970676545,31.87,33.0,1.0,238.437,0.0
5929,1673970676712,31.88,33.0,1.0,238.629,-0.01
5930,1673970676877,31.87,33.0,1.0,238.813,0.0
5931,1673970677043,31.89,33.0,1.0,239.0,0.0
5932,1673970677210,31.89,33.0,1.0,239.183,0.0
5933,1673970677375,31.88,33.0,1.0,239.366,0.0
5934,1673970677541,31.9,33.0,1.0,239.557,-0.02
5935,1673970677708,31.91,33.0,1.0,239.738,0.0
5936,1673970677874,31.91,33.0,1.0,239.918,0.0
5937,1673970678040,31.93,33.0,1.0,240.097,0.0
5938,1673970678205,31.93,33.0,1.0,240.274,0.0
5939,1673970678372,31.93,33.0,1.0,240.456,0.0
5940,1673970678537,31.93,33.0,1.0,240.633,0.0
5941,1673970678704,31.94,33.0,1.0,240.81,0.0
5942,1673970678869,31.94,33.0,1.0,240.984,0.0
5943,1673970679035,31.95,33.0,1.0,241.159,0.0
5944,1673970679202,31.96,33.0,1.0,241.338,-0.01
5945,1673970679367,31.97,33.0,1.0,241.509,0.0
5946,1673970679534,31.97,33.0,1.0,241.68,0.0
5947,1673970679700,31.97,33.0,1.0,241.85,0.0
5948,1673970679865,31.98,33.0,1.0,242.02,0.0
5949,1673970680032,31.98,33.0,1.0,242.193,0.0
5950,1673970680197,31.98,33.0,1.0,242.361,0.0
5951,1673970680364,32.0,33.0,1.0,242.53,0.0
5952,1673970680530,32.0,33.0,1.0,242.695,0.0
5953,1673970680695,32.01,33.0,1.0,242.86,0.0
5954,1673970680863,32.02,33.0,1.0,243.028,-0.01
5955,1673970681027,32.01,33.0,1.0,243.19,0.0
5956,1673970681194,32.02,33.0,1.0,243.353,0.0
5957,1673970681360,32.02,33.0,1.0,243.514,0.0
5958,1673970681525,32.03,33.0,1.0,243.676,0.0
5959,1673970681693,32.04,33.0,1.0,243.841,-0.01
5960,1673970681857,32.04,33.0,1.0,244.0,0.0
5961,1673970682024,32.05,33.0,1.0,244.158,0.0
5962,1673970682189,32.05,33.0,1.0,244.315,0.0
5963,1673970682355,32.06,33.0,1.0,244.471,0.0
5964,1673970682522,32.06,33.0,1.0,244.631,0.0
5965,1673970682687,32.07,33.0,1.0,244.786,0.0
5966,1673970682853,32.07,33.0,1.0,244.94,0.0
5967,1673970683019,32.08,33.0,1.0,245.093,0.0
5968,1673970683185,32.1,33.0,1.0,245.245,0.0
5969,1673970683352,32.09,33.0,1.0,245.398,0.01
5970,1673970683517,32.11,33.0,1.0,245.548,0.0
5971,1673970683683,32.1,33.0,1.0,245.695,0.0
5972,1673970683849,32.12,33.0,1.0,245.844,0.0
5973,1673970684016,32.13,33.0,0.999,245.989,0.0
5974,1673970684183,32.12,33.0,0.991,246.137,0.0
5975,1673970684347,32.12,33.0,1.0,246.282,0.0
5976,1673970684514,32.14,33.0,1.0,246.427,0.0
5977,1673970684679,32.14,33.0,0.984,246.569,0.0
5978,1673970684846,32.15,33.0,0.984,246.711,0.0
5979,1673970685012,32.14,33.0,0.994,246.855,0.01
5980,1673970685177,32.15,33.0,0.984,246.997,0.0
5981,1673970685343,32.15,33.0,0.977,247.138,0.0
5982,1673970685509,32.16,33.0,0.977,247.278,0.0
5983,1673970685675,32.17,33.0,0.969,247.417,0.0
5984,1673970685843,32.17,33.0,0.961,247.558,0.0
5985,1673970686008,32.19,33.0,0.961,247.695,0.0
5986,1673970686175,32.18,33.0,0.945,247.828,0.0
5987,1673970686341,32.2,33.0,0.954,247.964,0.0
5988,1673970686506,32.19,33.0,0.938,248.096,0.0
5989,1673970686673,32.2,33.0,0.928,248.233,-0.01
5990,1673970686839,32.22,33.0,0.938,248.365,0.0
5991,1673970687005,32.21,33.0,0.922,248.494,0.0
5992,1673970687170,32.22,33.0,0.93,248.624,0.0
5993,1673970687337,32.23,33.0,0.923,248.753,0.0
5994,1673970687503,32.24,33.0,0.897,248.884,-0.01
5995,1673970687669,32.23,33.0,0.907,249.009,0.0
5996,1673970687834,32.24,33.0,0.915,249.136,0.0
5997,1673970688000,32.24,33.0,0.907,249.262,0.0
5998,1673970688166,32.25,33.0,0.907,249.387,0.0
5999,1673970688332,32.26,33.0,0.881,249.515,-0.01
6000,1673970688499,32.26,33.0,0.892,249.636,0.0
6001,1673970688664,32.27,33.0,0.892,249.758,0.0
6002,1673970688830,32.27,33.0,0.884,249.879,0.0
6003,1673970688996,32.27,33.0,0.884,249.999,0.0
6004,1673970689163,32.28,33.0,0.866,250.123,-0.01
6005,1673970689329,32.29,33.0,0.876,250.242,0.0
6006,1673970689495,32.29,33.0,0.868,250.359,0.0
6007,1673970689660,32.31,33.0,0.869,250.476,0.0
6008,1673970689826,32.3,33.0,0.853,250.59,0.0
6009,1673970689993,32.3,33.0,0.861,250.709,0.0
6010,1673970690158,32.32,33.0,0.861,250.824,0.0
6011,1673970690324,32.31,33.0,0.845,250.937,0.0
6012,1673970690490,32.32,33.0,0.853,251.05,0.0
6013,1673970690657,32.32,33.0,0.845,251.163,0.0
6014,1673970690822,32.33,33.0,0.828,251.278,-0.01
6015,1673970690988,32.34,33.0,0.838,251.389,0.0
6016,1673970691154,32.35,33.0,0.83,251.498,0.0
6017,1673970691320,32.35,33.0,0.822,251.605,0.0
6018,1673970691486,32.36,33.0,0.822,251.712,0.0
6019,1673970691653,32.36,33.0,0.814,251.821,0.0
6020,1673970691819,32.37,33.0,0.814,251.927,0.0
6021,1673970691984,32.38,33.0,0.806,252.031,0.0
6022,1673970692150,32.38,33.0,0.799,252.133,0.0
6023,1673970692317,32.39,33.0,0.799,252.235,0.0
6024,1673970692482,32.39,33.0,0.791,252.339,0.0
6025,1673970692649,32.4,33.0,0.791,252.44,0.0
6026,1673970692814,32.4,33.0,0.783,252.539,0.0
6027,1673970692980,32.4,33.0,0.783,252.638,0.0
6028,1673970693147,32.42,33.0,0.783,252.737,0.0
6029,1673970693312,32.43,33.0,0.749,252.836,-0.01
6030,1673970693479,32.43,33.0,0.76,252.93,0.0
6031,1673970693644,32.43,33.0,0.76,253.024,0.0
6032,1673970693811,32.43,33.0,0.76,253.118,0.0
6033,1673970693977,32.44,33.0,0.76,253.213,0.0
6034,1673970694142,32.45,33.0,0.734,253.308,-0.01
6035,1673970694309,32.45,33.0,0.744,253.399,0.0
6036,1673970694475,32.47,33.0,0.744,253.489,0.0
6037,1673970694640,32.46,33.0,0.728,253.577,0.0
6038,1673970694806,32.47,33.0,0.736,253.666,0.0
6039,1673970694973,32.49,33.0,0.693,253.756,-0.02
6040,1673970695138,32.48,33.0,0.713,253.84,0.0
6041,1673970695305,32.5,33.0,0.721,253.926,0.0
6042,1673970695470,32.5,33.0,0.705,254.008,0.0
6043,1673970695636,32.51,33.0,0.705,254.091,0.0
6044,1673970695802,32.51,33.0,0.697,254.174,0.0
6045,1673970695968,32.52,33.0,0.697,254.256,0.0
6046,1673970696134,32.52,33.0,0.689,254.335,0.0
6047,1673970696300,32.53,33.0,0.689,254.414,0.0
6048,1673970696467,32.53,33.0,0.681,254.491,0.0
6049,1673970696632,32.53,33.0,0.681,254.571,0.0
6050,1673970696799,32.54,33.0,0.682,254.649,0.0
6051,1673970696964,32.54,33.0,0.674,254.725,0.0
6052,1673970697130,32.55,33.0,0.674,254.801,0.0
6053,1673970697297,32.55,33.0,0.666,254.875,0.0
6054,1673970697462,32.55,33.0,0.666,254.951,0.0
6055,1673970697629,32.56,33.0,0.666,255.025,0.0
6056,1673970697794,32.55,33.0,0.658,255.098,0.0
6057,1673970697961,32.56,33.0,0.666,255.172,0.0
6058,1673970698127,32.56,33.0,0.658,255.244,0.0
6059,1673970698292,32.57,33.0,0.658,255.319,0.0
6060,1673970698459,32.57,33.0,0.65,255.39,0.0
6061,1673970698625,32.57,33.0,0.651,255.461,0.0
6062,1673970698790,32.57,33.0,0.651,255.532,0.0
6063,1673970698957,32.58,33.0,0.651,255.603,0.0
6064,1673970699124,32.57,33.0,0.643,255.674,0.0
6065,1673970699289,32.58,33.0,0.651,255.745,0.0
6066,1673970699454,32.57,33.0,0.643,255.815,0.0
6067,1673970699620,32.59,33.0,0.651,255.886,0.0
6068,1673970699787,32.58,33.0,0.635,255.953,0.0
6069,1673970699952,32.59,33.0,0.643,256.025,0.0
6070,1673970700119,32.59,33.0,0.635,256.092,0.0
6071,1673970700284,32.59,33.0,0.635,256.16,0.0
6072,1673970700450,32.59,33.0,0.635,256.227,0.0
6073,1673970700616,32.59,33.0,0.636,256.295,0.0
6074,1673970700782,32.59,33.0,0.636,256.364,0.0
6075,1673970700948,32.59,33.0,0.636,256.432,0.0
6076,1673970701115,32.6,33.0,0.636,256.499,0.0
6077,1673970701280,32.59,33.0,0.628,256.566,0.0
6078,1673970701446,32.6,33.0,0.636,256.633,0.0
6079,1673970701612,32.59,33.0,0.628,256.702,0.0
6080,1673970701779,32.6,33.0,0.636,256.769,0.0
6081,1673970701944,32.6,33.0,0.628,256.836,0.0
6082,1673970702111,32.59,33.0,0.628,256.902,0.0
6083,1673970702277,32.59,33.0,0.636,256.97,0.0
6084,1673970702443,32.6,33.0,0.636,257.039,0.0
6085,1673970702609,32.59,33.0,0.629,257.106,0.0
6086,1673970702774,32.6,33.0,0.637,257.173,0.0
6087,1673970702941,32.59,33.0,0.629,257.24,0.0
6088,1673970703107,32.6,33.0,0.637,257.307,0.0
6089,1673970703273,32.59,33.0,0.629,257.375,0.0
6090,1673970703439,32.59,33.0,0.637,257.443,0.0
6091,1673970703604,32.59,33.0,0.637,257.51,0.0
6092,1673970703770,32.6,33.0,0.637,257.578,0.0
6093,1673970703936,32.59,33.0,0.629,257.644,0.0
6094,1673970704102,32.59,33.0,0.637,257.714,0.0
6095,1673970704268,32.59,33.0,0.637,257.781,0.0
6096,1673970704434,32.6,33.0,0.637,257.849,0.0
6097,1673970704600,32.59,33.0,0.629,257.915,0.0
6098,1673970704766,32.59,33.0,0.638,257.983,0.0
6099,1673970704933,32.59,33.0,0.638,258.052,0.0
6100,1673970705099,32.58,33.0,0.638,258.12,0.0
6101,1673970705264,32.58,33.0,0.646,258.189,0.0
6102,1673970705431,32.59,33.0,0.646,258.259,0.0
6103,1673970705596,32.59,33.0,0.638,258.326,0.0
6104,1673970705763,32.59,33.0,0.638,258.396,0.0
6105,1673970705928,32.59,33.0,0.638,258.463,0.0
6106,1673970706095,32.59,33.0,0.638,258.531,0.0
6107,1673970706261,32.59,33.0,0.638,258.598,0.0
6108,1673970706426,32.58,33.0,0.638,258.666,0.0
6109,1673970706593,32.59,33.0,0.646,258.737,0.0
6110,1673970706759,32.59,33.0,0.639,258.805,0.0
6111,1673970706924,32.59,33.0,0.639,258.872,0.0
6112,1673970707090,32.58,33.0,0.639,258.94,0.0
6113,1673970707257,32.58,33.0,0.647,259.009,0.0
6114,1673970707423,32.59,33.0,0.647,259.081,0.0
6115,1673970707588,32.59,33.0,0.639,259.148,0.0
6116,1673970707755,32.58,33.0,0.639,259.216,0.0
6117,1673970707920,32.57,33.0,0.647,259.285,0.0
6118,1673970708086,32.58,33.0,0.655,259.356,0.0
6119,1673970708253,32.57,33.0,0.665,259.427,0.01
6120,1673970708419,32.56,33.0,0.655,259.498,0.0
6121,1673970708584,32.56,33.0,0.663,259.57,0.0
6122,1673970708751,32.54,33.0,0.664,259.643,0.0
6123,1673970708916,32.52,33.0,0.68,259.718,0.0
6124,1673970709083,32.5,33.0,0.732,259.8,0.02
6125,1673970709249,32.48,33.0,0.712,259.883,0.0
6126,1673970709414,32.46,33.0,0.728,259.969,0.0
6127,1673970709581,32.44,33.0,0.744,260.057,0.0
6128,1673970709746,32.41,33.0,0.76,260.15,0.0
6129,1673970709913,32.39,33.0,0.82,260.251,0.02
6130,1673970710078,32.37,33.0,0.8,260.351,0.0
6131,1673970710244,32.35,33.0,0.817,260.455,0.0
6132,1673970710411,32.34,33.0,0.833,260.562,0.0
6133,1673970710576,32.32,33.0,0.841,260.671,0.0
6134,1673970710743,32.3,33.0,0.893,260.786,0.02
6135,1673970710909,32.28,33.0,0.873,260.902,0.0
6136,1673970711074,32.26,33.0,0.889,261.02,0.0
6137,1673970711241,32.24,33.0,0.905,261.142,0.0
6138,1673970711406,32.23,33.0,0.922,261.268,0.0
6139,1673970711573,32.21,33.0,0.966,261.399,0.02
6140,1673970711738,32.17,33.0,0.946,261.529,0.0
6141,1673970711905,32.16,33.0,0.978,261.666,0.0
6142,1673970712070,32.14,33.0,0.986,261.805,0.0
6143,1673970712236,32.12,33.0,1.0,261.947,0.0
6144,1673970712402,32.1,33.0,1.0,262.096,0.02
6145,1673970712568,32.09,33.0,1.0,262.244,0.0
6146,1673970712734,32.06,33.0,1.0,262.395,0.0
6147,1673970712901,32.05,33.0,1.0,262.55,0.0
6148,1673970713066,32.02,33.0,1.0,262.707,0.0
6149,1673970713233,32.0,33.0,1.0,262.874,0.02
6150,1673970713398,31.98,33.0,1.0,263.039,0.0
6151,1673970713564,31.96,33.0,1.0,263.207,0.0
6152,1673970713730,31.94,33.0,1.0,263.378,0.0
6153,1673970713896,31.93,33.0,1.0,263.554,0.0
6154,1673970714062,31.88,33.0,1.0,263.735,0.05
6155,1673970714228,31.88,33.0,1.0,263.921,0.0
6156,1673970714395,31.85,33.0,1.0,264.106,0.0
6157,1673970714561,31.82,33.0,1.0,264.295,0.0
6158,1673970714726,31.81,33.0,1.0,264.49,0.0
6159,1673970714893,31.79,33.0,1.0,264.692,0.02
6160,1673970715059,31.76,33.0,1.0,264.892,0.0
6161,1673970715224,31.74,33.0,1.0,265.096,0.0
6162,1673970715391,31.72,33.0,1.0,265.303,0.0
6163,1673970715556,31.69,33.0,1.0,265.515,0.0
6164,1673970715723,31.67,33.0,1.0,265.738,0.02
6165,1673970715888,31.66,33.0,1.0,265.958,0.0
6166,1673970716055,31.64,33.0,1.0,266.179,0.0
6167,1673970716220,31.62,33.0,1.0,266.404,0.0
6168,1673970716387,31.58,33.0,1.0,266.631,0.0
6169,1673970716553,31.57,33.0,1.0,266.873,0.01
6170,1673970716718,31.55,33.0,1.0,267.109,0.0
6171,1673970716885,31.53,33.0,1.0,267.349,0.0
6172,1673970717051,31.5,33.0,1.0,267.591,0.0
6173,1673970717216,31.48,33.0,1.0,267.839,0.0
6174,1673970717382,31.45,33.0,1.0,268.098,0.03
6175,1673970717549,31.43,33.0,1.0,268.353,0.0
6176,1673970717715,31.39,33.0,1.0,268.612,0.0
6177,1673970717881,31.36,33.0,1.0,268.878,0.0
6178,1673970718046,31.35,33.0,1.0,269.149,0.0
6179,1673970718213,31.33,33.0,1.0,269.429,0.02
6180,1673970718379,31.3,33.0,1.0,269.705,0.0
6181,1673970718545,31.29,33.0,1.0,269.986,0.0
6182,1673970718710,31.27,33.0,1.0,270.268,0.0
6183,1673970718877,31.25,33.0,1.0,270.553,0.0
6184,1673970719043,31.23,33.0,1.0,270.851,0.02
6185,1673970719208,31.2,33.0,1.0,271.143,0.0
6186,1673970719375,31.17,33.0,1.0,271.44,0.0
6187,1673970719541,31.17,33.0,1.0,271.742,0.0
6188,1673970719707,31.14,33.0,1.0,272.044,0.0
6189,1673970719872,31.11,33.0,1.0,272.361,0.03
6190,1673970720038,31.08,33.0,1.0,272.673,0.0
6191,1673970720204,31.06,33.0,1.0,272.99,0.0
6192,1673970720370,31.03,33.0,1.0,273.311,0.0
6193,1673970720536,31.01,33.0,1.0,273.636,0.0
6194,1673970720702,30.99,33.0,1.0,273.974,0.02
6195,1673970720869,30.98,33.0,1.0,274.306,0.0
6196,1673970721035,30.96,33.0,1.0,274.639,0.0
6197,1673970721200,30.94,33.0,1.0,274.975,0.0
6198,1673970721367,30.92,33.0,1.0,275.316,0.0
6199,1673970721532,30.9,33.0,1.0,275.67,0.02
6200,1673970721699,30.88,33.0,1.0,276.016,0.0
6201,1673970721865,30.86,33.0,1.0,276.366,0.0
6202,1673970722030,30.85,33.0,1.0,276.719,0.0
6203,1673970722197,30.8,33.0,1.0,277.074,0.0
6204,1673970722362,30.79,33.0,1.0,277.447,0.01
6205,1673970722528,30.77,33.0,1.0,277.812,0.0
6206,1673970722695,30.75,33.0,1.0,278.179,0.0
6207,1673970722860,30.73,33.0,1.0,278.551,0.0
6208,1673970723027,30.7,33.0,1.0,278.926,0.0
6209,1673970723192,30.7,33.0,1.0,279.317,0.0
6210,1673970723358,30.66,33.0,1.0,279.696,0.0
6211,1673970723525,30.65,33.0,1.0,280.082,0.0
6212,1673970723690,30.63,33.0,1.0,280.47,0.0
6213,1673970723857,30.6,33.0,1.0,280.861,0.0
6214,1673970724023,30.58,33.0,1.0,281.268,0.02
6215,1673970724189,30.57,33.0,1.0,281.667,0.0
6216,1673970724355,30.54,33.0,1.0,282.068,0.0
6217,1673970724521,30.53,33.0,1.0,282.474,0.0
6218,1673970724687,30.5,33.0,1.0,282.882,0.0
6219,1673970724852,30.5,33.0,1.0,283.307,0.0
6220,1673970725019,30.46,33.0,1.0,283.72,0.0
6221,1673970725184,30.43,33.0,1.0,284.139,0.0
6222,1673970725351,30.43,33.0,1.0,284.563,0.0
6223,1673970725517,30.4,33.0,1.0,284.987,0.0
6224,1673970725682,30.38,33.0,1.0,285.429,0.02
6225,1673970725849,30.37,33.0,1.0,285.861,0.0
6226,1673970726015,30.35,33.0,1.0,286.295,0.0
6227,1673970726180,30.32,33.0,1.0,286.732,0.0
6228,1673970726347,30.3,33.0,1.0,287.174,0.0
6229,1673970726512,30.28,33.0,1.0,287.633,0.02
6230,1673970726679,30.26,33.0,1.0,288.082,0.0
6231,1673970726844,30.24,33.0,1.0,288.534,0.0
6232,1673970727011,30.22,33.0,1.0,288.99,0.0
6233,1673970727177,30.21,33.0,1.0,289.448,0.0
6234,1673970727342,30.18,33.0,1.0,289.922,0.03
6235,1673970727508,30.17,33.0,1.0,290.387,0.0
6236,1673970727675,30.15,33.0,1.0,290.855,0.0
6237,1673970727840,30.13,33.0,1.0,291.325,0.0
6238,1673970728006,30.11,33.0,1.0,291.798,0.0
6239,1673970728173,30.1,33.0,1.0,292.289,0.01
6240,1673970728338,30.07,33.0,1.0,292.768,0.0
6241,1673970728505,30.07,33.0,1.0,293.251,0.0
6242,1673970728670,30.06,33.0,1.0,293.734,0.0
6243,1673970728837,30.03,33.0,1.0,294.22,0.0
6244,1673970729003,30.01,33.0,1.0,294.725,0.02
6245,1673970729169,30.0,33.0,1.0,295.219,0.0
6246,1673970729334,29.98,33.0,1.0,295.714,0.0
6247,1673970729500,29.96,33.0,1.0,296.213,0.0
6248,1673970729666,29.96,33.0,1.0,296.714,0.0
6249,1673970729832,29.93,33.0,1.0,297.231,0.03
6250,1673970729999,29.92,33.0,1.0,297.738,0.0
6251,1673970730164,29.89,33.0,1.0,298.246,0.0
6252,1673970730331,29.88,33.0,1.0,298.76,0.0
6253,1673970730497,29.86,33.0,1.0,299.274,0.0
6254,1673970730662,29.85,33.0,1.0,299.808,0.01
6255,1673970730828,29.81,33.0,1.0,300.327,0.0
6256,1673970730994,29.8,33.0,1.0,300.854,0.0
6257,1673970731161,29.77,33.0,1.0,301.382,0.0
6258,1673970731326,29.76,33.0,1.0,301.915,0.0
6259,1673970731492,29.73,33.0,1.0,302.466,0.03
6260,1673970731659,29.72,33.0,1.0,303.006,0.0
6261,1673970731825,29.71,33.0,1.0,303.546,0.0
6262,1673970731991,29.7,33.0,1.0,304.089,0.0
6263,1673970732156,29.68,33.0,1.0,304.634,0.0
6264,1673970732322,29.66,33.0,1.0,305.199,0.02
6265,1673970732488,29.65,33.0,1.0,305.749,0.0
6266,1673970732655,29.64,33.0,1.0,306.302,0.0
6267,1673970732821,29.63,33.0,1.0,306.857,0.0
6268,1673970732986,29.61,33.0,1.0,307.413,0.0
6269,1673970733153,29.58,33.0,1.0,307.989,0.03
6270,1673970733319,29.58,33.0,1.0,308.553,0.0
6271,1673970733484,29.57,33.0,1.0,309.117,0.0
6272,1673970733650,29.55,33.0,1.0,309.683,0.0
6273,1673970733817,29.53,33.0,1.0,310.252,0.0
6274,1673970733982,29.53,33.0,1.0,310.842,0.0
6275,1673970734149,29.5,33.0,1.0,311.415,0.0
6276,1673970734315,29.5,33.0,1.0,311.992,0.0
6277,1673970734481,29.48,33.0,1.0,312.57,0.0
6278,1673970734646,29.45,33.0,1.0,313.151,0.0
6279,1673970734813,29.44,33.0,1.0,313.755,0.01
6280,1673970734978,29.42,33.0,1.0,314.342,0.0
6281,1673970735145,29.41,33.0,1.0,314.933,0.0
6282,1673970735311,29.4,33.0,1.0,315.525,0.0
6283,1673970735476,29.39,33.0,1.0,316.119,0.0
6284,1673970735642,29.38,33.0,1.0,316.732,0.01
6285,1673970735808,29.36,33.0,1.0,317.33,0.0
6286,1673970735975,29.36,33.0,1.0,317.93,0.0
6287,1673970736140,29.35,33.0,1.0,318.53,0.0
6288,1673970736307,29.34,33.0,1.0,319.132,0.0
6289,1673970736472,29.32,33.0,1.0,319.755,0.02
6290,1673970736639,29.32,33.0,1.0,320.362,0.0
6291,1673970736804,29.32,33.0,1.0,320.97,0.0
6292,1673970736971,29.3,33.0,1.0,321.577,0.0
6293,1673970737136,29.29,33.0,1.0,322.187,0.0
6294,1673970737302,29.29,33.0,1.0,322.818,0.0
6295,1673970737469,29.26,33.0,1.0,323.43,0.0
6296,1673970737634,29.25,33.0,1.0,324.048,0.0
6297,1673970737801,29.24,33.0,1.0,324.666,0.0
6298,1673970737966,29.23,33.0,1.0,325.286,0.0
6299,1673970738133,29.21,33.0,1.0,325.928,0.02
6300,1673970738299,29.21,33.0,1.0,326.553,0.0
6301,1673970738465,29.18,33.0,1.0,327.178,0.0
6302,1673970738630,29.18,33.0,1.0,327.809,0.0
6303,1673970738797,29.16,33.0,1.0,328.439,0.0
6304,1673970738963,29.16,33.0,1.0,329.092,0.0
6305,1673970739129,29.15,33.0,1.0,329.725,0.0
6306,1673970739295,29.13,33.0,1.0,330.361,0.0
6307,1673970739461,29.12,33.0,1.0,330.999,0.0
6308,1673970739626,29.12,33.0,1.0,331.64,0.0
6309,1673970739793,29.11,33.0,1.0,332.3,0.01
6310,1673970739958,29.09,33.0,1.0,332.941,0.0
6311,1673970740125,29.08,33.0,1.0,333.587,0.0
6312,1673970740291,29.07,33.0,1.0,334.233,0.0
6313,1673970740457,29.06,33.0,1.0,334.882,0.0
6314,1673970740622,29.05,33.0,1.0,335.552,0.01
6315,1673970740789,29.03,33.0,1.0,336.204,0.0
6316,1673970740955,29.02,33.0,1.0,336.858,0.0
6317,1673970741121,29.02,33.0,1.0,337.515,0.0
6318,1673970741287,29.01,33.0,1.0,338.172,0.0
6319,1673970741453,29.0,33.0,1.0,338.85,0.01
6320,1673970741619,28.99,33.0,1.0,339.51,0.0
6321,1673970741785,28.98,33.0,1.0,340.172,0.0
6322,1673970741951,28.96,33.0,1.0,340.835,0.0
6323,1673970742117,28.96,33.0,1.0,341.502,0.0
6324,1673970742282,28.95,33.0,1.0,342.189,0.01
6325,1673970742449,28.93,33.0,1.0,342.858,0.0
6326,1673970742615,28.94,33.0,1.0,343.529,0.0
6327,1673970742781,28.94,33.0,1.0,344.199,0.0
6328,1673970742947,28.94,33.0,1.0,344.869,0.0
