Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
96,1673969690573,26.58,33.0,26.49,126.736,0.01
97,1673969690739,26.57,33.0,26.532,127.057,0.01
98,1673969690906,26.58,33.0,26.394,127.378,-0.01
99,1673969691073,26.57,33.0,26.536,127.7,0.01
100,1673969691239,26.58,33.0,26.398,128.021,-0.01
101,1673969691405,26.58,33.0,26.45,128.342,0.0
102,1673969691570,26.58,33.0,26.452,128.663,0.0
103,1673969691737,26.58,33.0,26.454,128.984,0.0
104,1673969691903,26.58,33.0,26.456,129.305,0.0
105,1673969692069,26.58,33.0,26.458,129.626,0.0
106,1673969692234,26.58,33.0,26.46,129.947,0.0
107,1673969692400,26.58,33.0,26.462,130.268,0.0
108,1673969692566,26.58,33.0,26.464,130.589,0.0
109,1673969692733,26.58,33.0,26.465,130.91,0.0
110,1673969692898,26.58,33.0,26.467,131.231,0.0
111,1673969693064,26.57,33.0,26.559,131.552,0.01
112,1673969693230,26.58,33.0,26.421,131.873,-0.01
113,1673969693397,26.58,33.0,26.473,132.194,0.0
114,1673969693564,26.58,33.0,26.475,132.515,0.0
115,1673969693730,26.58,33.0,26.477,132.836,0.0
116,1673969693895,26.57,33.0,26.569,133.158,0.01
117,1673969694062,26.58,33.0,26.431,133.479,-0.01
118,1673969694228,26.58,33.0,26.483,133.8,0.0
119,1673969694395,26.58,33.0,26.485,134.121,0.0
120,1673969694561,26.58,33.0,26.487,134.442,0.0
121,1673969694726,26.58,33.0,26.489,134.763,0.0
122,1673969694892,26.58,33.0,26.491,135.084,0.0
123,1673969695059,26.58,33.0,26.492,135.405,0.0
124,1673969695224,26.58,33.0,26.494,135.726,0.0
125,1673969695391,26.59,33.0,26.406,136.046,-0.01
126,1673969695557,26.58,33.0,26.548,136.367,0.01
127,1673969695724,26.58,33.0,26.5,136.688,0.0
128,1673969695889,26.58,33.0,26.502,137.009,0.0
129,1673969696055,26.58,33.0,26.504,137.33,0.0
130,1673969696221,26.58,33.0,26.506,137.651,0.0
131,1673969696387,26.58,33.0,26.508,137.972,0.0
132,1673969696554,26.58,33.0,26.51,138.293,0.0
133,1673969696719,26.58,33.0,26.512,138.614,0.0
134,1673969696885,26.59,33.0,26.424,138.935,-0.01
135,1673969697053,26.58,33.0,26.566,139.256,0.01
136,1673969697218,26.59,33.0,26.427,139.576,-0.01
137,1673969697386,26.59,33.0,26.479,139.897,0.0
138,1673969697552,26.59,33.0,26.481,140.217,0.0
139,1673969697718,26.58,33.0,26.573,140.538,0.01
140,1673969697884,26.59,33.0,26.435,140.859,-0.01
141,1673969698051,26.59,33.0,26.487,141.179,0.0
142,1673969698216,26.6,33.0,26.399,141.499,-0.01
143,1673969698384,26.61,33.0,26.361,141.819,-0.01
144,1673969698550,26.56,33.0,26.863,142.141,0.05
145,1673969698716,26.6,33.0,26.255,142.461,-0.04
146,1673969698883,26.61,33.0,26.367,142.78,-0.01
147,1673969699050,26.62,33.0,26.329,143.099,-0.01
148,1673969699217,26.61,33.0,26.471,143.419,0.01
