Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temp ()
262,1673365626629,26.5
263,1673365626793,26.49
264,1673365626957,26.49
265,1673365627120,26.5
266,1673365627285,26.49
267,1673365627448,26.5
268,1673365627613,26.5
269,1673365627777,26.46
270,1673365627941,26.5
271,1673365628105,26.48
272,1673365628269,26.51
273,1673365628432,26.5
274,1673365628596,26.5
275,1673365628760,26.49
276,1673365628925,26.51
277,1673365629088,26.5
278,1673365629253,26.49
279,1673365629416,26.45
280,1673365629580,26.5
281,1673365629744,26.5
282,1673365629909,26.5
283,1673365630072,26.5
284,1673365630237,26.5
285,1673365630400,26.5
286,1673365630565,26.5
287,1673365630728,26.5
288,1673365630892,26.5
289,1673365631057,26.5
290,1673365631221,26.5
291,1673365631384,26.51
292,1673365631548,26.51
293,1673365631713,26.52
294,1673365631876,26.51
295,1673365632041,26.51
296,1673365632204,26.5
297,1673365632368,26.51
298,1673365632532,26.5
299,1673365632696,26.49
300,1673365632861,26.5
301,1673365633024,26.51
302,1673365633188,26.51
303,1673365633352,26.52
304,1673365633517,26.5
305,1673365633681,26.49
306,1673365633845,26.5
307,1673365634009,26.5
308,1673365634172,26.5
309,1673365634336,26.5
310,1673365634500,26.51
311,1673365634665,26.51
312,1673365634829,26.5
313,1673365634992,26.5
314,1673365635157,26.5
315,1673365635321,26.51
316,1673365635484,26.5
317,1673365635648,26.5
318,1673365635812,26.5
319,1673365635977,26.51
320,1673365636141,26.51
321,1673365636305,26.51
322,1673365636469,26.49
323,1673365636632,26.5
324,1673365636797,26.51
325,1673365636960,26.5
326,1673365637125,26.51
327,1673365637289,26.51
328,1673365637453,26.51
329,1673365637616,26.51
330,1673365637781,26.51
331,1673365637945,26.5
332,1673365638109,26.49
333,1673365638273,26.51
334,1673365638436,26.5
335,1673365638600,26.5
336,1673365638765,26.5
337,1673365638929,26.51
338,1673365639093,26.51
339,1673365639256,26.49
340,1673365639421,26.49
341,1673365639585,26.5
342,1673365639749,26.5
343,1673365639913,26.5
344,1673365640077,26.5
345,1673365640241,26.5
346,1673365640404,26.5
347,1673365640569,26.49
348,1673365640732,26.5
349,1673365640896,26.5
350,1673365641061,26.5
351,1673365641224,26.5
352,1673365641389,26.5
353,1673365641552,26.5
354,1673365641717,26.51
355,1673365641881,26.5
356,1673365642045,26.49
357,1673365642208,26.5
358,1673365642373,26.5
359,1673365642536,26.49
360,1673365642701,26.5
361,1673365642865,26.5
362,1673365643029,26.49
363,1673365643193,26.5
364,1673365643356,26.51
365,1673365643521,26.49
366,1673365643684,26.5
367,1673365643849,26.5
368,1673365644012,26.5
369,1673365644176,26.5
370,1673365644341,26.51
371,1673365644504,26.51
372,1673365644668,26.5
373,1673365644833,26.5
374,1673365644997,26.5
375,1673365645160,26.49
376,1673365645324,26.49
377,1673365645489,26.49
378,1673365645652,26.5
379,1673365645816,26.5
380,1673365645981,26.51
381,1673365646144,26.48
382,1673365646308,26.49
383,1673365646473,26.5
384,1673365646636,26.5
385,1673365646800,26.5
386,1673365646965,26.49
387,1673365647129,26.49
388,1673365647293,26.49
389,1673365647456,26.49
390,1673365647621,26.49
391,1673365647784,26.48
392,1673365647948,26.5
393,1673365648112,26.5
394,1673365648276,26.49
395,1673365648441,26.51
396,1673365648605,26.49
397,1673365648768,26.49
398,1673365648932,26.49
399,1673365649096,26.49
400,1673365649261,26.49
401,1673365649425,26.48
402,1673365649589,26.5
403,1673365649753,26.49
404,1673365649916,26.49
405,1673365650081,26.49
406,1673365650244,26.5
407,1673365650409,26.5
408,1673365650573,26.49
409,1673365650736,26.48
410,1673365650901,26.48
411,1673365651065,26.48
412,1673365651228,26.48
413,1673365651393,26.49
414,1673365651556,26.47
415,1673365651720,26.48
416,1673365651884,26.48
417,1673365652048,26.49
418,1673365652212,26.47
419,1673365652377,26.5
420,1673365652541,26.49
421,1673365652705,26.49
422,1673365652868,26.48
423,1673365653033,26.48
424,1673365653196,26.5
425,1673365653360,26.49
426,1673365653525,26.48
427,1673365653688,26.49
428,1673365653853,26.48
429,1673365654017,26.49
430,1673365654180,26.48
431,1673365654344,26.48
432,1673365654509,26.48
433,1673365654673,26.49
434,1673365654836,26.47
435,1673365655001,26.48
436,1673365655165,26.47
437,1673365655328,26.49
438,1673365655492,26.49
439,1673365655656,26.48
440,1673365655820,26.49
441,1673365655985,26.49
442,1673365656148,26.49
443,1673365656313,26.48
444,1673365656477,26.48
445,1673365656641,26.5
446,1673365656804,26.49
447,1673365656968,26.48
448,1673365657133,26.49
449,1673365657296,26.48
450,1673365657460,26.5
451,1673365657625,26.49
452,1673365657789,26.49
453,1673365657953,26.5
454,1673365658116,26.5
455,1673365658280,26.49
456,1673365658445,26.49
457,1673365658608,26.49
458,1673365658772,26.49
459,1673365658937,26.5
460,1673365659101,26.5
461,1673365659265,26.5
462,1673365659429,26.51
463,1673365659592,26.5
464,1673365659756,26.51
465,1673365659920,26.5
466,1673365660084,26.5
467,1673365660248,26.52
468,1673365660413,26.5
469,1673365660576,26.5
470,1673365660741,26.49
471,1673365660905,26.52
472,1673365661068,26.5
473,1673365661232,26.5
474,1673365661396,26.5
475,1673365661561,26.5
476,1673365661724,26.5
477,1673365661889,26.5
478,1673365662052,26.51
479,1673365662217,26.51
480,1673365662381,26.51
481,1673365662545,26.51
482,1673365662708,26.5
483,1673365662872,26.52
484,1673365663037,26.51
485,1673365663200,26.51
486,1673365663365,26.51
487,1673365663529,26.51
488,1673365663693,26.51
489,1673365663856,26.51
490,1673365664021,26.51
491,1673365664185,26.51
492,1673365664348,26.51
493,1673365664512,26.51
494,1673365664677,26.51
495,1673365664840,26.52
496,1673365665004,26.51
497,1673365665169,26.53
498,1673365665332,26.52
499,1673365665497,26.53
500,1673365665660,26.51
501,1673365665825,26.53
502,1673365665989,26.54
503,1673365666152,26.54
504,1673365666317,26.54
505,1673365666480,26.55
506,1673365666644,26.57
507,1673365666809,26.55
508,1673365666973,26.56
509,1673365667137,26.57
510,1673365667301,26.54
511,1673365667464,26.58
512,1673365667629,26.58
513,1673365667792,26.59
514,1673365667957,26.59
515,1673365668121,26.6
516,1673365668284,26.6
517,1673365668449,26.6
518,1673365668612,26.62
519,1673365668777,26.62
520,1673365668941,26.62
521,1673365669104,26.63
522,1673365669269,26.65
523,1673365669432,26.63
524,1673365669596,26.65
525,1673365669760,26.65
526,1673365669924,26.66
527,1673365670089,26.65
528,1673365670253,26.66
529,1673365670417,26.67
530,1673365670580,26.67
531,1673365670745,26.67
532,1673365670909,26.67
533,1673365671072,26.69
534,1673365671237,26.69
535,1673365671401,26.7
536,1673365671565,26.71
537,1673365671729,26.7
538,1673365671892,26.7
539,1673365672057,26.71
540,1673365672221,26.71
541,1673365672384,26.71
542,1673365672549,26.71
543,1673365672713,26.72
544,1673365672877,26.73
545,1673365673040,26.73
546,1673365673204,26.73
547,1673365673369,26.73
548,1673365673532,26.72
549,1673365673696,26.74
550,1673365673861,26.74
551,1673365674025,26.73
552,1673365674189,26.75
553,1673365674353,26.74
554,1673365674517,26.74
555,1673365674680,26.76
556,1673365674844,26.75
557,1673365675009,26.76
558,1673365675172,26.77
559,1673365675337,26.76
560,1673365675501,26.76
561,1673365675664,26.77
562,1673365675829,26.77
563,1673365675992,26.77
564,1673365676157,26.77
565,1673365676320,26.78
566,1673365676484,26.77
567,1673365676648,26.78
568,1673365676813,26.78
569,1673365676976,26.78
570,1673365677141,26.78
571,1673365677304,26.78
572,1673365677469,26.78
573,1673365677632,26.8
574,1673365677796,26.8
575,1673365677961,26.78
576,1673365678125,26.8
577,1673365678290,26.81
578,1673365678453,26.8
579,1673365678617,26.81
580,1673365678782,26.8
581,1673365678946,26.81
582,1673365679110,26.81
583,1673365679273,26.81
584,1673365679438,26.81
585,1673365679602,26.81
586,1673365679765,26.81
587,1673365679929,26.81
588,1673365680094,26.81
589,1673365680257,26.81
590,1673365680422,26.82
591,1673365680585,26.8
592,1673365680749,26.82
593,1673365680913,26.81
594,1673365681077,26.82
595,1673365681241,26.83
596,1673365681406,26.83
597,1673365681569,26.83
598,1673365681734,26.83
599,1673365681897,26.83
600,1673365682062,26.83
601,1673365682226,26.83
602,1673365682390,26.84
603,1673365682554,26.83
604,1673365682718,26.83
605,1673365682881,26.84
606,1673365683045,26.83
607,1673365683209,26.83
608,1673365683374,26.83
609,1673365683538,26.83
610,1673365683702,26.83
611,1673365683865,26.84
612,1673365684031,26.83
613,1673365684193,26.81
614,1673365684358,26.84
615,1673365684521,26.83
616,1673365684686,26.84
617,1673365684849,26.83
618,1673365685013,26.84
619,1673365685178,26.84
620,1673365685342,26.84
621,1673365685506,26.84
622,1673365685669,26.84
623,1673365685833,26.83
624,1673365685998,26.85
625,1673365686162,26.86
626,1673365686325,26.84
627,1673365686489,26.85
628,1673365686653,26.84
629,1673365686817,26.85
630,1673365686981,26.85
631,1673365687145,26.85
632,1673365687310,26.86
633,1673365687473,26.83
634,1673365687638,26.85
635,1673365687801,26.85
636,1673365687966,26.85
637,1673365688130,26.85
638,1673365688293,26.86
639,1673365688457,26.86
640,1673365688621,26.87
641,1673365688786,26.87
642,1673365688950,26.87
643,1673365689113,26.84
644,1673365689277,26.85
645,1673365689441,26.86
646,1673365689605,26.86
647,1673365689769,26.86
648,1673365689934,26.87
649,1673365690098,26.87
650,1673365690262,26.86
651,1673365690425,26.86
652,1673365690589,26.87
653,1673365690754,26.85
654,1673365690917,26.88
655,1673365691081,26.87
656,1673365691246,26.86
657,1673365691409,26.87
658,1673365691574,26.87
659,1673365691737,26.87
660,1673365691901,26.86
661,1673365692066,26.88
662,1673365692231,26.88
663,1673365692394,26.85
664,1673365692557,26.87
665,1673365692721,26.87
666,1673365692885,26.88
667,1673365693050,26.88
668,1673365693213,26.86
669,1673365693377,26.89
670,1673365693542,26.87
671,1673365693706,26.88
672,1673365693870,26.86
673,1673365694034,26.88
674,1673365694197,26.87
675,1673365694362,26.88
676,1673365694526,26.88
677,1673365694689,26.88
678,1673365694854,26.88
679,1673365695018,26.87
680,1673365695182,26.88
681,1673365695347,26.88
682,1673365695510,26.87
683,1673365695673,26.87
684,1673365695838,26.88
685,1673365696001,26.88
686,1673365696166,26.88
687,1673365696330,26.87
688,1673365696494,26.88
689,1673365696659,26.87
690,1673365696821,26.89
691,1673365696986,26.87
692,1673365697149,26.88
693,1673365697313,26.88
694,1673365697478,26.88
695,1673365697641,26.87
696,1673365697806,26.87
697,1673365697969,26.88
698,1673365698134,26.88
699,1673365698298,26.89
700,1673365698462,26.88
701,1673365698626,26.89
702,1673365698790,26.89
703,1673365698953,26.89
704,1673365699118,26.89
705,1673365699281,26.89
706,1673365699446,26.89
707,1673365699609,26.9
708,1673365699773,26.88
709,1673365699938,26.89
710,1673365700101,26.87
711,1673365700266,26.89
712,1673365700429,26.89
713,1673365700594,26.88
714,1673365700758,26.89
715,1673365700922,26.9
716,1673365701086,26.88
717,1673365701249,26.89
718,1673365701413,26.89
719,1673365701578,26.89
720,1673365701741,26.88
721,1673365701905,26.89
722,1673365702070,26.89
723,1673365702234,26.9
724,1673365702397,26.89
725,1673365702561,26.9
726,1673365702726,26.89
727,1673365702889,26.9
728,1673365703054,26.89
729,1673365703218,26.89
730,1673365703381,26.89
731,1673365703546,26.89
732,1673365703710,26.89
733,1673365703873,26.89
734,1673365704037,26.89
735,1673365704202,26.89
